
 Lista de Imóveis da Caixa;;Data de geração:;03/10/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787700428805 ;DF ;BRASILIA ;RIACHO FUNDO II ;QUADRA QN 23, N. SN, Apto 302, CJ 02, BL 08, LT 01-04 ;20.500,00;205.000,00;90.00;Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700428805
 8787711984607 ;DF ;BRASILIA ;ST HAB ITAPOA ;AVENIDA TERCEIRA AVENIDA MERCADO, N. SN, Apto 01, BL D1 LT12 QD 501 ;73.948,67;127.657,69;42.08;Apartamento, 0.00 de área total, 46.40 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711984607
 8787709151121 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ; QUADRA 101, N. SN, Apto 607, LT 04 CJ 04 BL C QD 101 ;105.481,84;178.000,00;40.75;Apartamento, 43.68 de área total, 32.30 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709151121
 8555514163286 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 400, N. SN, Apto 203, BL L LT 401 ;100.741,08;170.000,00;40.75;Apartamento, 62.73 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514163286
 8787705245920 ;DF ;BRASILIA ;ST MEIRELES SANTA ;RUA 200- RESIDENCIAL PORTO PILAR, N. LT 202, Apto 401, BL 21- SETOR MEIRELES, SANTA - RA-XIII ;116.047,39;192.000,00;39.56;Apartamento, 0.00 de área total, 44.96 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705245920
 1787701288243 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 403, COND 17 BL 08 LT 05 ;105.342,10;170.565,65;38.24;Apartamento, 117.48 de área total, 60.50 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701288243
 1444413071076 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ;QUADRA QN 104, N. S/N, Apto 403, BLOCO 11, LOTE 1, CONJUNTO 1 ;123.996,39;197.000,00;37.06;Apartamento, 48.77 de área total, 43.39 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444413071076
 1787700255589 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 300, N. SN, Apto 103, BLOCO 16, LOTE RESIDENCIAL 301, VG N. ;254.925,72;400.000,00;36.27;Apartamento, 0.00 de área total, 189.34 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700255589
 1444401976451 ;DF ;BRASILIA ;ZONA INDUSTRIAL (GUARA) ;SETOR SMAS TRECHO 1 C, N. SN, Apto 504, BLOCO A ;1.335.664,88;1.902.000,00;29.78;Apartamento, 0.00 de área total, 145.80 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401976451
 8787700425423 ;DF ;BRASILIA ;ST HAB RIACHO FUNDO ;QN 8F, N. SN, Apto 202, COND 16 BL 03 LT 01 02 ;155.973,69;155.973,69;0.00;Apartamento, 103.63 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700425423
 8097509756014 ;DF ;BRASILIA ;ASA NORTE ;CLN 410, N. SN, Apto 105, BL B QD 410 ;350.000,00;350.000,00;0.00;Apartamento, 68.57 de área total, 52.94 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8097509756014
 8787700788089 ;DF ;BRASILIA ;RIACHO FUNDO II ;QUADRA QN 31, N. SN, Apto 403, BL 06 CJ 05 LT 1 E 2 ;155.973,69;155.973,69;0.00;Apartamento, 0.00 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700788089
 1787701585337 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 400, N. SN, Apto 104, LT 402 BL13 ;215.000,00;215.000,00;0.00;Apartamento, 130.26 de área total, 61.22 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701585337
 8787711401350 ;DF ;BRASILIA ;ITAPOA PARQUE (ITAPOA) ;QD 501 LOTE 11 CONJUNTO 02, N. SN, Apto 202, BLOCO B1 ;166.825,86;166.825,86;0.00;Apartamento, 0.00 de área total, 46.40 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711401350
 1444416526775 ;DF ;BRASILIA ;SETOR DE INDUSTRIAS GRAFICAS ;QUADRA 04 SIG SUL, N. SN, Apto 219, LT 75 ENTRADA B VG 371 ;719.097,47;495.000,00;0.00;Sala, 35.32 de área total, 35.32 de área privativa, 0.00 de área do terreno, WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416526775
 1444419492774 ;DF ;BRASILIA ;SETOR HAB EST DO SOL ;CONDOMINIO OURO VERMELHO II, N. SN, LT 02, QD 01 - FASE II ;1.245.327,46;405.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419492774
 8444420643932 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 12, N. SN, Apto 508, ÁREAS ESP CDJKLMNOP, TORRE C, CJ III ;224.103,45;366.000,00;38.77;Apartamento, 156.73 de área total, 79.10 de área privativa, 0.00 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420643932
 1444418475973 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 22, N. 17, QNP 22 LT 17 CNJ U ;147.362,40;234.122,88;37.06;Casa, 1.22 de área total, 122.00 de área privativa, 126.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418475973
 1444408654956 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 6, N. SN, LT 53 CJ O ;226.246,58;355.000,00;36.27;Casa, 144.00 de área total, 91.12 de área privativa, 144.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408654956
 1444417048206 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 24, N. SN, CJ H LT 43 ;401.508,01;630.000,00;36.27;Casa, 165.00 de área total, 24.01 de área privativa, 144.00 de área do terreno, a.serv, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417048206
 1444406357369 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 7, N. SN, CONJ C LT07 ;212.225,66;333.000,00;36.27;Casa, 111.71 de área total, 37.27 de área privativa, 144.00 de área do terreno,  1 qto(s), 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406357369
